Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2022,IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh,60.43,20.0,75.76,44.05,77.55,67.16,22.57
2022,IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,60.0,21.0,73.99,45.7,75.12,54.91,35.77
2022,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,59.16,22.0,81.06,38.78,68.75,63.67,30.87
2022,IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat,58.27,23.0,80.19,39.08,64.63,60.47,35.07
2022,IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.02,24.0,61.21,59.2,67.16,61.76,22.89
2022,IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.73,25.0,69.95,62.18,55.67,57.33,12.19
2022,IR-E-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,57.51,26.0,59.53,57.45,73.54,60.95,16.07
2022,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,57.48,27.0,75.94,40.02,68.72,69.54,19.95
2022,IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,57.18,28.0,59.52,56.97,71.19,54.56,25.33
2022,IR-E-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,56.9,29.0,60.84,46.29,78.27,54.2,36.91
2022,IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,56.7,30.0,78.42,34.92,74.41,66.44,11.78
2022,IR-E-U-0263,"National Institute of Technology, Calicut",Kozhikode,Kerala,56.66,31.0,67.13,36.3,76.86,63.72,38.88
2022,IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,56.62,32.0,66.38,48.85,75.64,53.15,16.07
2022,IR-E-U-0064,"Indian Institute of Technology, Patna",Patna,Bihar,56.19,33.0,71.45,47.78,62.39,51.47,27.92
